,Mean,Max,Min
0,32.0,37.0,30.0
1,32.0,37.0,30.0
2,32.0,37.0,30.0
3,32.0,37.0,30.0
4,32.5,39.0,30.0
5,33.0,41.0,30.0
6,33.75,44.0,30.0
7,34.25,45.0,30.0
8,36.5,48.0,32.0
9,38.75,51.0,34.0
10,40.5,52.0,36.0
11,41.0,51.0,37.0
12,43.0,54.0,39.0
13,42.5,49.0,39.0
14,43.25,50.0,41.0
15,45.0,52.0,42.0
16,45.0,50.0,43.0
17,45.25,52.0,43.0
18,43.0,48.0,41.0
19,41.5,48.0,39.0
20,40.0,46.0,37.0
21,39.0,44.0,37.0
22,38.0,42.0,36.0
23,36.75,39.0,36.0
24,36.5,38.0,36.0
25,36.0,36.0,36.0
26,36.25,37.0,36.0
27,36.5,37.0,35.0
28,38.5,40.0,37.0
29,40.75,46.0,39.0
30,42.75,50.0,39.0
31,44.25,54.0,41.0
32,44.25,52.0,41.0
33,45.5,53.0,43.0
34,46.0,55.0,41.0
35,45.75,55.0,42.0
36,44.25,57.0,37.0
37,44.75,60.0,39.0
38,44.5,60.0,39.0
39,44.25,59.0,39.0
40,42.25,57.0,37.0
41,41.75,56.0,36.0
42,40.5,53.0,36.0
43,39.5,50.0,36.0
44,38.75,49.0,34.0
45,37.25,46.0,34.0
46,37.0,46.0,34.0
47,36.25,44.0,33.0
48,37.0,42.0,34.0
49,36.75,40.0,35.0
50,36.5,39.0,35.0
51,37.0,39.0,36.0
52,37.5,42.0,36.0
53,38.0,44.0,36.0
54,39.5,47.0,37.0
55,40.25,50.0,37.0
56,40.5,50.0,37.0
57,42.0,53.0,37.0
58,41.5,54.0,37.0
59,42.0,56.0,37.0
60,41.75,56.0,37.0
61,42.0,56.0,37.0
62,41.75,55.0,37.0
63,41.5,54.0,37.0
64,41.5,54.0,37.0
65,40.75,53.0,36.0
66,40.0,51.0,36.0
67,38.0,49.0,34.0
68,36.5,48.0,32.0
69,35.5,46.0,32.0
70,34.75,45.0,30.0
71,33.5,43.0,30.0
72,32.75,41.0,30.0
73,32.75,40.0,30.0
74,32.25,38.0,30.0
75,32.0,38.0,30.0
76,32.75,40.0,30.0
77,35.25,43.0,32.0
78,38.25,45.0,35.0
79,40.75,47.0,37.0
80,42.75,48.0,41.0
81,44.75,49.0,43.0
82,46.25,51.0,43.0
83,46.25,49.0,45.0
84,46.5,49.0,45.0
85,47.5,51.0,46.0
86,46.75,48.0,46.0
87,47.0,48.0,46.0
88,46.0,47.0,45.0
89,44.0,46.0,41.0
90,43.25,44.0,43.0
91,42.25,43.0,41.0
92,41.5,43.0,40.0
93,40.75,42.0,39.0
94,41.0,42.0,40.0
95,40.25,41.0,38.0
96,39.25,41.0,37.0
97,38.75,40.0,37.0
98,38.5,40.0,36.0
99,39.25,41.0,35.0
100,42.0,45.0,38.0
101,44.75,46.0,41.0
102,46.75,48.0,45.0
103,49.0,50.0,48.0
104,50.75,52.0,50.0
105,51.75,55.0,50.0
106,53.0,58.0,50.0
107,53.75,58.0,52.0
108,54.0,59.0,52.0
109,53.75,57.0,52.0
110,53.5,59.0,50.0
111,51.25,58.0,48.0
112,49.25,59.0,45.0
113,47.5,62.0,41.0
114,44.25,58.0,39.0
115,42.5,55.0,37.0
116,41.5,54.0,37.0
117,40.5,53.0,36.0
118,39.75,50.0,36.0
119,38.0,49.0,34.0
120,36.75,47.0,32.0
121,35.5,46.0,32.0
122,34.0,45.0,30.0
123,34.0,45.0,30.0
124,34.75,48.0,30.0
125,35.25,51.0,30.0
126,36.25,54.0,30.0
127,36.75,56.0,30.0
128,38.25,57.0,32.0
129,38.75,58.0,32.0
130,39.0,59.0,32.0
131,39.5,59.0,32.0
132,40.0,58.0,34.0
133,39.5,58.0,32.0
134,40.0,58.0,34.0
135,40.0,57.0,34.0
136,39.5,56.0,34.0
137,38.0,55.0,32.0
138,37.25,52.0,32.0
139,34.75,49.0,28.0
140,32.75,47.0,27.0
141,31.75,45.0,27.0
142,31.5,44.0,27.0
143,31.0,43.0,27.0
144,30.75,41.0,27.0
145,30.5,40.0,27.0
146,30.25,38.0,27.0
147,30.5,36.0,28.0
148,32.0,38.0,30.0
149,33.0,41.0,30.0
150,33.5,43.0,30.0
151,34.5,46.0,30.0
152,35.5,46.0,30.0
153,35.75,46.0,32.0
154,34.75,46.0,30.0
155,35.75,47.0,30.0
156,34.5,48.0,30.0
157,34.0,46.0,28.0
158,34.75,44.0,30.0
159,35.0,46.0,30.0
160,34.0,44.0,30.0
161,32.75,42.0,28.0
162,31.0,42.0,27.0
163,30.75,41.0,27.0
164,29.75,40.0,25.0
165,28.75,41.0,23.0
166,27.5,40.0,23.0
167,26.0,39.0,21.0
168,25.0,39.0,19.0
169,24.25,39.0,19.0
170,24.75,39.0,19.0
171,26.0,39.0,21.0
172,27.5,38.0,23.0
173,29.25,40.0,25.0
174,31.5,41.0,28.0
175,33.0,43.0,29.0
176,33.0,42.0,30.0
177,34.666666666666664,42.0,30.0
178,35.25,44.0,32.0
179,35.0,44.0,32.0
180,35.25,45.0,32.0
181,36.0,42.0,34.0
182,34.75,41.0,32.0
183,34.5,40.0,32.0
184,34.25,40.0,32.0
185,32.75,37.0,30.0
186,32.25,38.0,30.0
187,31.75,37.0,30.0
188,31.5,36.0,30.0
189,30.75,35.0,28.0
190,30.0,35.0,28.0
191,29.25,34.0,27.0
192,29.0,33.0,27.0
193,29.0,33.0,27.0
194,28.75,33.0,27.0
195,28.75,33.0,27.0
196,29.25,35.0,27.0
197,29.75,36.0,27.0
198,32.25,37.0,30.0
199,32.75,35.0,32.0
200,33.5,36.0,32.0
201,34.75,37.0,34.0
202,35.25,38.0,34.0
203,36.0,39.0,34.0
204,35.75,37.0,34.0
205,36.5,39.0,35.0
206,34.5,37.0,33.0
207,34.25,37.0,30.0
208,33.0,35.0,31.0
209,34.0,36.0,32.0
210,33.0,36.0,32.0
211,31.0,33.0,30.0
212,29.5,32.0,28.0
213,28.5,30.0,27.0
214,28.0,30.0,27.0
215,27.75,29.0,27.0
216,27.5,29.0,27.0
217,27.75,29.0,27.0
218,28.25,29.0,28.0
219,28.75,30.0,28.0
220,29.75,32.0,28.0
221,30.75,35.0,28.0
222,32.25,39.0,30.0
223,32.75,40.0,30.0
224,33.5,40.0,30.0
225,33.25,36.0,32.0
226,32.75,35.0,32.0
227,33.75,38.0,32.0
228,34.666666666666664,38.0,32.0
229,34.5,39.0,32.0
230,33.25,37.0,32.0
231,33.75,39.0,32.0
232,33.0,38.0,30.0
233,32.0,37.0,30.0
234,31.25,36.0,28.0
235,30.0,35.0,28.0
236,28.75,33.0,27.0
237,27.75,32.0,25.0
238,27.0,30.0,25.0
239,26.5,31.0,25.0
240,26.0,29.0,25.0
241,26.25,30.0,25.0
242,26.0,29.0,25.0
243,26.0,28.0,25.0
244,26.25,29.0,25.0
245,28.5,34.0,26.0
246,30.0,38.0,27.0
247,31.25,42.0,27.0
248,31.5,41.0,28.0
249,33.25,42.0,30.0
250,33.0,41.0,30.0
251,35.0,44.0,32.0
252,35.5,46.0,32.0
253,35.0,41.0,32.0
254,35.0,40.0,32.0
255,35.5,40.0,34.0
256,35.75,43.0,32.0
257,34.5,41.0,32.0
258,33.75,40.0,30.0
259,32.5,38.0,30.0
260,30.75,36.0,28.0
261,29.5,33.0,28.0
262,28.5,32.0,27.0
263,27.0,31.0,25.0
264,26.5,30.0,25.0
265,26.25,29.0,25.0
266,26.75,29.0,25.0
267,28.0,31.0,27.0
268,29.0,34.0,27.0
269,32.0,38.0,30.0
270,31.75,40.0,28.0
271,33.75,43.0,30.0
272,35.5,45.0,32.0
273,35.75,46.0,32.0
274,37.25,46.0,34.0
275,37.5,47.0,34.0
276,39.25,49.0,36.0
277,40.0,51.0,36.0
278,39.75,50.0,36.0
279,39.0,47.0,36.0
280,39.0,48.0,36.0
281,38.75,49.0,34.0
282,37.5,47.0,34.0
283,35.5,44.0,32.0
284,32.5,40.0,28.0
285,31.75,39.0,28.0
286,31.5,38.0,28.0
287,30.75,38.0,28.0
288,29.5,36.0,27.0
289,28.75,34.0,27.0
290,28.5,33.0,27.0
291,29.75,36.0,27.0
292,31.5,41.0,28.0
293,33.5,44.0,30.0
294,35.25,47.0,30.0
295,35.5,49.0,30.0
296,36.0,51.0,30.0
297,37.5,52.0,32.0
298,37.75,52.0,32.0
299,39.0,54.0,34.0
300,39.75,54.0,34.0
301,39.75,53.0,34.0
302,40.0,55.0,34.0
303,40.75,55.0,36.0
304,40.5,54.0,36.0
305,38.75,47.0,36.0
306,37.75,45.0,34.0
307,35.5,44.0,32.0
308,34.0,43.0,30.0
309,32.25,42.0,28.0
310,30.5,38.0,28.0
311,29.75,38.0,27.0
312,29.5,38.0,26.0
313,29.0,41.0,25.0
314,30.0,42.0,25.0
315,31.25,44.0,26.0
316,34.25,46.0,29.0
317,36.5,48.0,32.0
318,37.75,49.0,34.0
319,39.25,50.0,35.0
320,39.75,51.0,36.0
321,40.0,52.0,36.0
322,40.5,54.0,36.0
323,40.75,53.0,36.0
324,41.0,55.0,36.0
325,41.5,57.0,36.0
326,41.25,57.0,36.0
327,40.75,55.0,36.0
328,41.0,53.0,37.0
329,40.0,51.0,36.0
330,39.25,52.0,34.0
331,37.75,51.0,32.0
332,36.25,51.0,30.0
333,35.5,51.0,30.0
334,33.75,50.0,28.0
335,33.25,49.0,28.0
336,32.75,48.0,27.0
337,32.0,47.0,27.0
338,32.0,47.0,27.0
339,32.75,47.0,28.0
340,35.666666666666664,48.0,29.0
341,34.5,48.0,30.0
342,35.25,48.0,30.0
343,36.25,48.0,32.0
344,37.5,48.0,34.0
345,38.0,48.0,34.0
346,39.5,49.0,36.0
347,40.25,51.0,36.0
348,42.75,56.0,37.0
349,43.0,57.0,37.0
350,43.5,56.0,39.0
351,43.5,56.0,39.0
352,43.0,54.0,39.0
353,42.0,50.0,39.0
354,41.0,46.0,39.0
