,USAF,WBAN,YR--MODAHRMN,DIR,SPD,GUS,CLG,SKC,L,M,H,VSB,MW,MW.1,MW.2,MW.3,AW,AW.1,AW.2,AW.3,W,TEMP,DEWP,SLP,ALT,STP,MAX,MIN,PCP01,PCP06,PCP24,PCPXX,SD
0,28450,99999,201705010000,174.0,10.0,14.0,,,,,,2.2,,,,,67.0,,,,8.0,31.0,31.0,1009.2,,984.1,,,,,,,35.0
1,28450,99999,201705010020,180.0,10.0,,4.0,,,,,2.9,,,,,10.0,,,,,30.0,30.0,,29.74,,,,,,,,
2,28450,99999,201705010050,190.0,10.0,,4.0,,,,,2.1,,,,,10.0,,,,,30.0,30.0,,29.74,,,,,,,,
3,28450,99999,201705010100,188.0,12.0,16.0,,,,,,3.2,,,,,77.0,,,,,31.0,30.0,1009.1,,984.0,,,,,,,35.0
4,28450,99999,201705010120,200.0,13.0,,2.0,OBS,,,,1.8,,,,,72.0,,,,,30.0,30.0,,29.74,,,,,,,,
5,28450,99999,201705010150,200.0,14.0,,2.0,OBS,,,,2.1,,,,,10.0,,,,,30.0,30.0,,29.74,,,,,,,,
6,28450,99999,201705010200,200.0,15.0,20.0,,,,,,1.7,,,,,61.0,,,,,31.0,31.0,1009.2,,984.1,,,,,,,35.0
7,28450,99999,201705010220,210.0,14.0,,1.0,OBS,,,,0.3,,,,,35.0,,,,,30.0,30.0,,29.77,,,,,,,,
8,28450,99999,201705010250,210.0,14.0,,1.0,OBS,,,,0.2,,,,,35.0,,,,,30.0,30.0,,29.77,,,,,,,,
9,28450,99999,201705010300,203.0,13.0,18.0,,,,,,0.5,,,,,85.0,,,,8.0,31.0,31.0,1009.6,,984.5,,,,,,,35.0
10,28450,99999,201705010320,210.0,15.0,,1.0,OBS,,,,1.3,,,,,10.0,,,,,30.0,30.0,,29.77,,,,,,,,
11,28450,99999,201705010350,210.0,14.0,,2.0,OBS,,,,1.8,,,,,10.0,,,,,30.0,30.0,,29.77,,,,,,,,
12,28450,99999,201705010400,199.0,14.0,19.0,,,,,,3.2,,,,,71.0,,,,,31.0,31.0,1009.9,,984.8,,,,,,,35.0
13,28450,99999,201705010420,210.0,14.0,,2.0,OBS,,,,2.3,,,,,10.0,,,,,30.0,30.0,,29.77,,,,,,,,
14,28450,99999,201705010450,210.0,17.0,,1.0,,,,,3.1,,,,,45.0,,,,,30.0,30.0,,29.8,,,,,,,,
15,28450,99999,201705010500,213.0,13.0,22.0,,,,,,1.6,,,,,61.0,,,,,31.0,31.0,1010.4,,985.3,,,,,,,35.0
16,28450,99999,201705010520,230.0,15.0,,1.0,OBS,,,,0.9,,,,,72.0,,,,,30.0,30.0,,29.8,,,,,,,,
17,28450,99999,201705010550,220.0,17.0,,1.0,,,,,0.9,,,,,27.0,,,,,30.0,30.0,,29.8,,,,,,,,
18,28450,99999,201705010600,216.0,11.0,18.0,,,,,,1.8,,,,,67.0,,,,8.0,31.0,30.0,1011.0,,985.8,34.0,31.0,,,,,35.0
19,28450,99999,201705010620,210.0,16.0,,5.0,,,,,3.8,,,,,85.0,,,,,30.0,30.0,,29.8,,,,,,,,
20,28450,99999,201705010650,220.0,17.0,,13.0,,,,,5.6,,,,,85.0,,,,,30.0,30.0,,29.83,,,,,,,,
21,28450,99999,201705010700,222.0,11.0,18.0,,,,,,4.0,,,,,61.0,,,,,30.0,30.0,1011.8,,986.6,,,,,,,35.0
22,28450,99999,201705010720,220.0,20.0,,8.0,,,,,6.2,,,,,71.0,,,,,30.0,28.0,,29.83,,,,,,,,
23,28450,99999,201705010750,220.0,18.0,,11.0,,,,,6.2,,,,,,,,,,32.0,28.0,,29.83,,,,,,,,
24,28450,99999,201705010800,210.0,13.0,19.0,,,,,,16.4,,,,,23.0,,,,,32.0,30.0,1012.4,,987.2,,,,,,,35.0
25,28450,99999,201705010820,220.0,18.0,,17.0,,,,,6.2,,,,,,,,,,32.0,30.0,,29.85,,,,,,,,
26,28450,99999,201705010850,220.0,16.0,,17.0,,,,,6.2,,,,,,,,,,34.0,28.0,,29.85,,,,,,,,
27,28450,99999,201705010900,216.0,13.0,17.0,,,,,,23.2,,,,,0.0,,,,8.0,34.0,31.0,1012.4,,987.4,,,,,,,35.0
28,28450,99999,201705010920,210.0,16.0,,26.0,,,,,6.2,,,,,,,,,,34.0,30.0,,29.85,,,,,,,,
29,28450,99999,201705010950,220.0,17.0,,28.0,,,,,6.2,,,,,,,,,,36.0,28.0,,29.85,,,,,,,,
30,28450,99999,201705011000,216.0,16.0,24.0,,,,,,23.4,,,,,0.0,,,,,37.0,29.0,1012.7,,987.8,,,,,,,35.0
31,28450,99999,201705011020,230.0,23.0,,39.0,,,,,6.2,,,,,,,,,,36.0,27.0,,29.85,,,,,,,,
32,28450,99999,201705011050,230.0,20.0,,37.0,,,,,6.2,,,,,,,,,,37.0,27.0,,29.88,,,,,,,,
33,28450,99999,201705011100,221.0,13.0,19.0,,,,,,20.1,,,,,0.0,,,,,37.0,27.0,1013.3,,988.4,,,,,,,35.0
34,28450,99999,201705011120,210.0,17.0,,37.0,,,,,6.2,,,,,,,,,,37.0,27.0,,29.88,,,,,,,,
35,28450,99999,201705011150,220.0,18.0,32.0,40.0,,,,,6.2,,,,,,,,,,39.0,25.0,,29.88,,,,,,,,
36,28450,99999,201705011200,216.0,14.0,24.0,,,,,,27.4,,,,,0.0,,,,8.0,40.0,25.0,1013.4,,988.6,,,,,,,35.0
37,28450,99999,201705011220,210.0,17.0,,44.0,,,,,6.2,,,,,,,,,,39.0,27.0,,29.88,,,,,,,,
38,28450,99999,201705011250,210.0,24.0,,43.0,,,,,6.2,,,,,,,,,,39.0,28.0,,29.88,,,,,,,,
